avg_degree,avg_betweenness_centrality,diameter,girth,num_nodes,num_edges,k0_nullity,k0_low_lying_density,k0_trace,k0_spectral_moment_2,k0_quasi_wiener_index,k0_spanning_tree_number,k1_nullity,k1_low_lying_density,k1_trace,k1_spectral_moment_2,k1_quasi_wiener_index,k1_spanning_tree_number,k2_nullity,k2_low_lying_density,k2_trace,k2_spectral_moment_2,k2_quasi_wiener_index,k2_spanning_tree_number,graph_type,p,instance,epsilon
3.52,0.04241496598639456,6.0,3.0,50,88,2,9,175.99999999999997,931.9999999999998,1183.0920060645979,45.39011292646344,31,39,203.0,1057.0000000000007,1789.4431022775254,52.22886299866411,0,0,27.0,93.00000000000001,35.19607843137254,6.8867359117580635,erdos_renyi,0.05,0.0,
2.68,0.05454081632653061,11.0,3.0,50,67,4,15,134.00000000000003,628.0000000000005,2250.012756797161,26.388966030859056,18,29,143.0,671.0,2663.726685622007,27.87306180966481,0,0,9.0,27.0,4.0,1.9095425048844386,erdos_renyi,0.05,1.0,
2.48,0.03806122448979592,8.0,3.0,50,62,8,19,123.99999999999999,579.9999999999998,1545.655792582638,25.473057181552516,14,25,142.00000000000003,656.0000000000001,1996.8333752408153,30.400808770488542,0,0,18.0,60.0,15.916666666666668,4.276666119016055,erdos_renyi,0.05,2.0,
2.28,0.05455782312925171,10.0,4.0,50,57,5,18,113.99999999999999,454.0,2518.304319472573,18.711900797102025,12,24,114.00000000000003,454.00000000000017,2518.3043194725747,18.711900797102025,0,0,0.0,0.0,0.0,-inf,erdos_renyi,0.05,3.0,
2.56,0.05357142857142857,8.0,3.0,50,64,4,17,128.0,564.0,1948.6533092881418,25.473494795157443,15,29,137.0,591.0,2123.035435412915,28.70745625744368,0,0,9.0,27.0,4.0,1.9095425048844386,erdos_renyi,0.05,4.0,
2.48,0.05838435374149659,9.0,3.0,50,62,4,16,124.00000000000001,522.0,2397.0989818553394,22.49017254696132,13,26,133.0,549.0000000000001,2600.10529984611,25.72413400924754,0,0,9.0,27.0,4.0,1.9095425048844386,erdos_renyi,0.05,5.0,
2.96,0.05935374149659864,10.0,3.0,50,74,1,14,148.0,686.0000000000002,2028.1414466777085,31.74944616170373,19,32,166.0,741.9999999999999,2388.1850869457044,38.110008172748984,0,0,18.0,56.0,14.583333333333336,4.527980547296962,erdos_renyi,0.05,6.0,
3.04,0.047108843537414964,7.0,3.0,50,76,2,12,152.00000000000003,754.0000000000001,1642.456156306705,34.67330429358086,24,34,164.0,789.9999999999999,1847.2008765494293,38.98928183281178,0,0,12.0,36.0,6.666666666666667,2.7850112422383386,erdos_renyi,0.05,7.0,
2.0,0.03260204081632653,8.0,3.0,50,50,13,23,100.0,434.0000000000001,1488.1553782916626,17.37916729234954,12,22,103.0,443.0,1540.3173619309161,18.451804094614392,0,0,3.0,9.0,0.6666666666666666,0.4054651081081645,erdos_renyi,0.05,8.0,
2.92,0.044846938775510194,7.0,3.0,50,73,3,13,146.0,714.0,1750.534090193365,32.121947162031525,24,34,152.00000000000003,748.0,1928.8700727454802,33.40327972790869,0,0,6.0,18.0,2.0,1.0986122886681098,erdos_renyi,0.05,9.0,
2.56,0.04193877551020408,10.0,3.0,50,64,6,17,128.0,590.0000000000001,1722.7626630845814,26.74620086368118,18,29,134.00000000000003,624.0000000000002,1910.7734999340273,28.006573321685444,0,0,6.0,18.0,2.0,1.0986122886681098,erdos_renyi,0.05,10.0,
